,제목,평점,장르,줄거리
13,라라랜드,8,드라마,"꿈을 꾸는 사람들을 위한 별들의 도시 ‘라라랜드’.재즈 피아니스트 ‘세바스찬’(라이언 고슬링)과 배우 지망생 ‘미아’(엠마 스톤),인생에서 가장 빛나는 순간 만난 두 사람은미완성인 서로의 무대를 만들어가기 시작한다."
14,분노의 질주: 홉스&쇼,7,액션,공식적으로만 세상을 4번 구한 전직 베테랑 경찰 ‘루크 홉스’(드웨인 존슨)분노 조절 실패로 쫓겨난 전직 특수요원 ‘데카드 쇼’(제이슨 스타뎀)99.9% 완벽히 다른 두 남자는 전 세계를 위협하는 불가능한 미션을 해결하기 위해어쩔 수 없이 한 팀이 되고 마는데…
15,테넷,8,액션,시간의 흐름을 뒤집는 인버전을 통해 현재와 미래를 오가며 세상을 파괴하려는 사토르(케네스 브래너)를 막기 위해 투입된 작전의 주도자(존 데이비드 워싱턴). 인버전에 대한 정보를 가진 닐(로버트 패틴슨)과 미술품 감정사이자 사토르에 대한 복수심이 가득한 그의 아내 캣(엘리자베스 데비키)과 협력해 미래의 공격에 맞서 제3차 세계대전을 막아야 한다!
18,애프터: 그 후,8,멜로,"""너만의 테사는 더 이상 없어!""첫사랑 하딘이 자신과의 연애를 내기에 걸었다는 비밀을 알게 된 '테사'둘은 헤어지지만 서로의 살결과 숨결을 끊지 못하며 아슬아슬한 썸을 이어간다.이후 대학 졸업을 앞둔 취준생 테사는 대형 출판사의 인턴십에 합격하고거친 하딘과는 180도 다른 젠틀한 직장 남사친 '트레버'를 만나게 된다.""테사의 두 번째 남자를 만났다""런던으로 떠나기 전에 테사를 향한 진심을 전하고 싶었던 '하딘'테사의 용서를 기다리며 과거의 잘못을 하나씩 고쳐나간다.워크숍 파티에서 취한 테사의 연락에 하딘은 기대 반, 걱정 반 마음으로결국 테사의 호텔 룸에 찾아가고, 샤워실에서 그녀석 '트레버'와 마주치는데…"
19,조커,8,드라마,고담시의 광대 아서 플렉은 코미디언을 꿈꾸는 남자.하지만 모두가 미쳐가는 코미디 같은 세상에서맨 정신으로는 그가 설 자리가 없음을 깨닫게 되는데…이제껏 본 적 없는 진짜 ‘조커’를 만나라!
20,분노의 질주: 더 익스트림,8,액션,"마침내 평화로운 일상으로 돌아온 리더 ‘도미닉’(빈 디젤)과 멤버들.그러던 어느 날, 멤버들은 도미닉이 첨단 테러 조직의 리더 ‘사이퍼’(샤를리즈 테론)와 함께 사상 최악의 테러를 계획하고 있음을 알게 된다.리더의 배신으로 위기에 놓인 멤버들은 한때 팀을 모두 전멸시키려 했던 ‘데카드 쇼’(제이슨 스타뎀)까지 영입해최악의 적이 되어버린 도미닉과의 피할 수 없는 대결을 앞두게 되는데…"
21,내일의 기억,7,공포/스릴러,"사고로 기억을 잃은 채 깨어난 수진 옆엔자상한 남편 지훈이 그녀를 세심하게 돌봐주고 있다.그리고 집에 돌아온 후,마주친 이웃들의 위험한 미래가 보이기 시작하자 수진은 혼란에 빠진다.그러던 어느 날 길에서 만난 옛 직장 동료는수진을 걱정하며 지훈에 대한 믿기 힘든 소리를 하고,때마침 발견한 사진에서 사진 속 남편 자리엔 지훈이 아닌 다른 남자가 있다.설상가상 수진은 알 수 없는 남자가 자신을 위협하는 환영에 시달리는데……"
22,다크 워터스,8,드라마,"젖소 190마리의 떼죽음메스꺼움과 고열에 시달리는 사람들기형아들의 출생그리고, 한 마을에 퍼지기 시작한 중증 질병들...대기업의 변호를 담당하는 대형 로펌의 변호사 ‘롭 빌럿’(마크 러팔로)은세계 최대의 화학기업 듀폰의 독성 폐기물질(PFOA) 유출 사실을 폭로한다. 그는 사건을 파헤칠수록 독성 물질이 프라이팬부터 콘택트렌즈, 아기 매트까지우리 일상 속에 침투해 있다는 끔찍한 사실을 알게 되고자신의 커리어는 물론 아내 ‘사라’(앤 해서웨이)와 가족들,모든 것을 건 용기 있는 싸움을 시작한다.대한민국에서도 일어나고 있는 현재진행형 실화가 공개된다"
23,애프터,7,드라마,"첫 끌림대학 입학 후 첫 파티에 초대 받게 된 신입생 ‘테사’는진실게임을 하던 중 키스 벌칙에 걸리고 만다.상대는 학교에서 유명한 반항아 ‘하딘’.키스를 앞둔 0.1초 전, 모두가 주목하는 그 순간‘테사’는 ‘하딘’의 입술을 거절하고 만다.첫 사랑강렬했던 첫 만남 이후, 마치 새로운 세상을 발견한 듯한번도 경험한 적 없던 감정에 눈을 뜨게 된 두 사람.‘하딘’은 자신의 비밀 장소로 ‘테사’를 초대하고이제 두 사람은 서로를 모르기 전으로 절대 되돌아 갈 수 없음을 알게 되는데…첫 경험 그리고 "
24,비긴 어게인,9,코미디,"싱어송라이터인 ‘그레타’(키이라 나이틀리)는 남자친구 ‘데이브’(애덤 리바인)가 메이저 음반회사와 계약을 하게 되면서 뉴욕으로 오게 된다. 그러나 행복도 잠시, 오랜 연인이자 음악적 파트너로서 함께 노래를 만들고 부르는 것이 좋았던 그레타와 달리 스타가 된 데이브의 마음은 어느새 변해버린다. 스타 음반프로듀서였지만 이제는 해고된 ‘댄’(마크 러팔로)은 미치기 일보직전 들른 뮤직바에서 그레타의 자작곡을 듣게 되고 아직 녹슬지 않은 촉을 살려 음반제작을 제안한다. 거리 밴드를 결성한 그들은 뉴욕의 거리를 스튜디오 삼아 진짜로 부르고 싶었던 노래를 만들어가는데…"
25,알라딘,9,액션,"머나먼 사막 속 신비의 아그라바 왕국의 시대.좀도둑 ‘알라딘’은 마법사 ‘자파’의 의뢰로 마법 램프를 찾아 나섰다가주인에게 세 가지 소원을 들어주는 지니를 만나게 되고,자스민 공주의 마음을 얻으려다 생각도 못했던 모험에 휘말리게 되는데…"
26,더 파더,8,드라마,"나는 런던에서 평화롭게 삶을 보내고 있었다.무료한 일상 속 나를 찾아오는 건 딸 ‘앤’ 뿐이다.그런데 앤이 갑작스럽게 런던을 떠난다고 말한다.그 순간부터 앤이 내 딸이 아닌 것처럼 느껴졌다.잠깐, 앤이 내 딸이 맞기는 한 걸까?기억이 뒤섞여 갈수록 지금 이 현실과 사랑하는 딸,그리고 나 자신까지 모든 것이 점점 더 의심스러워진다."
27,분노의 질주: 언리미티드,8,액션,"경찰이었던 브라이언(폴 워커)은 미아(조다나 브류스터)와 함께 도미닉(빈 디젤)을 탈옥시키고, 함께 국경을 넘어 브라질의 리우 데 자네이루로 도주한다. 자유를 위한 마지막 한방, 최후의 미션을 준비하는 멤버들은 이들을 죽음으로 몰아 놓으려는 음모에 휩싸여 궁지에 몰리게 되는데... 한편 절대 타겟을 놓치지 않는 냉철한 정부 요원 홉스(드웨인 존슨)는 도미닉과 브라이언을 쫓던 중 이들의 둘러싼 커다란 음모가 있음을 직감하게 되고 이들간의 쫓고 쫓기는 숨막히는 대결이 시작된다."
28,분노의 질주: 더 맥시멈,8,액션,"억만 불이 걸린 한 탕에 성공한 후, 정부의 추적을 피해 전세계를 떠돌던 도미닉(빈 디젤)과 브라이언(폴 워커).1급 수배자가 되어 고향으로 돌아갈 수 없게 된 그들 앞에 타고난 본능의 베테랑 정부 요원 홉스(드웨인 존슨)가찾아온다. 전세계에 걸쳐 군 호송 차량을 습격하며 범죄를 일삼고 있는 레이싱팀 소탕 작전의 도움을 청하기 위한 것. 죽은 줄로만 알았던 자신의 연인 레티(미셀 로드리게즈)가 거대 범죄조직의 일원이라는 충격적 사실에 도미닉은 브라이언을 비롯한 최고 정예 멤버들을 소집한다. 단 조건은 멤버들의 전과를 사면해주는 것. 그리고, 마침내 거침없는 액션 본능과 환상의 드라이빙 실력의 특급 멤버들이 모두 모이고, 최강의 적에 맞선 사상 최대의 프로젝트가 시작되는데"
29,콰이어트 플레이스,7,공포/스릴러,소리를 내는 순간 공격받는 극한의 상황 속에서 살아남기 위한 한 가족의 숨막히는 사투를 그린 이야기< 생존 법칙 >1. 어떤 소리도 내지 말 것2. 아무 말도 하지 말 것3. 붉은 등이 켜지면 무조건 도망갈 것
30,분노의 질주: 더 오리지널,8,액션,"범법자의 신분으로 경찰에게 쫓기는 도미닉(빈 디젤)은 사랑하는 여인 레티(미셸 로드리게즈)의 갑작스런 죽음을 접하고 복수를 위해 LA로 돌아온다. 한편 LA 최대 갱단의 두목을 쫓고 있던 브라이언(폴 워커)은 범죄의 중심에 자신의 친구이기도 했던 레티의 죽음이 연관되어 있음을 직감한다. 위장 잠입한 갱단 소굴에서 서로 만나게 된 도미닉과 브라이언. 서로 쫓고 쫓기는 경찰과 도망자의 관계이지만, 서로의 우정과 믿음에 이끌린 두 사람은, 여인과 친구의 복수를 위해 잠시 손을 잡기로 한다. 하지만, 적의 실체에 점점 다가갈수록 목숨을 건 위험한 액션은 점점 극으로 치닫는데…"
32,몬테크리스토: 더 뮤지컬 라이브,9,공연실황,"175년을 관통해 전 세계인의 마음을 훔친 소설 '몬테크리스토 백작'을 원작으로 한 뮤지컬 실황 영화!2010년 국내 초연 이래 50만 관객에게 사랑 받아온 뮤지컬 흥행 대작 '몬테크리스토' 극장판!아름다운 연인 메르세데스와 결혼을 앞둔 에드몬드 단테스의 장밋빛 미래는 하루아침에 악몽이 되어버렸다.배신과 탐욕, 위선으로 비롯된 모함은 촉망받던 젊은 선원 에드몬드 단테스의 미래를 송두리째 앗아가고,악명 높은 샤토 디프 섬의 감옥에 갇혀 장장 14년의 지옥 같은 세월을 보내게 한다.몬데고의 ‘배신’, 당글라스의 ‘탐욕’, 빌포트의 ‘위선’끝이 보이지 않는 감옥살이 중 에드몬드는 같은 감옥에 투옥되어 있던 파리아 신부를 만나 철학, 정치,검술 등을 배우고 그 과정에서 자신의 악몽이 몬데고, 당글라스, 빌포트에 의한 것이었음을 깨닫는다.정의의 실현이 복수뿐이라면……분노에 휩싸인 에드몬드는 복수를 결심하고, 파리아 신부는 “복수심은 자신을 망칠 뿐임”을 경고한다.탈출을 준비하던 중 심각한 부상을 입은 파리아 신부는 죽게 되는데, 숨을 거두기 전 에드몬드에게몬테크리스토 섬의 보물 지도를 건네며 ‘용서와 가난한 자를 위한 새 삶’을 부탁한다.그러나 보물을 발견하고 엄청난 부를 손에 쥔 에드몬드는 ‘몬테크리스토 백작’으로 신분을 바꾸고 복수를 시작하는데……140분 동안 펼쳐지는 사랑과 복수, 용서의 대서사시가 8K 시네마틱 카메라 14대의 온-스테이지 밀착 촬영으로 담아낸역동적인 관람 뷰와 영화관 최적화 사운드 편집으로 대극장보다 섬세하게, 대극장보다 생생하게 살아난다."
34,이프 온리,9,코미디,"눈앞에서 사랑하는 연인을 잃은 남자는 다음 날 아침, 자신의 옆에서 자고 있는 연인을 보고 소스라치게 놀란다. 기쁨도 잠시, 정해진 운명은 바꿀 수 없단 것을 깨달은 그는 더 늦기 전에 자신의 진정한 사랑을 전하기로 마음먹는데…네가 아니었다면 난 영영 사랑을 몰랐을 거야사랑하는 법을 알게 해줘서 고마워, 사랑받는 법도."
35,미 비포 유,8,감독테아 샤록,"이별을 준비하는 마지막에 나타난 짜증나는 여자내 평생 최고의 6개월을 선물했다6년 동안이나 일하던 카페가 문을 닫는 바람에 백수가 된 루이자(에밀리아 클라크)는 새 직장을 찾던 중 촉망 받던 젊은 사업가였던 전신마비 환자 윌(샘 클라플린)의 6개월 임시 간병인이 된다. 루이자의 우스꽝스러운 옷, 썰렁한 농담들, 속마음을 그대로 드러내는 얼굴 표정이 신경 쓰이는 윌. 말만 하면 멍청이 보듯 두 살짜리처럼 취급하고 개망나니처럼 구는 윌이 치사하기만 한 루이자. 그렇게 둘은 서로의 인생을 향해 차츰 걸어 들어가는데..."
36,노트북,9,드라마,"17살, ‘노아’는 밝고 순수한 ‘앨리’를 보고 첫눈에 반한다. 빠른 속도로 서로에게 빠져드는 둘.그러나 이들 앞에 놓인 장벽에 막혀 이별하게 된다. 24살, ‘앨리’는 우연히 신문에서 ‘노아’의 소식을 접하고 잊을 수 없는 첫사랑 앞에서 다시 한 번 선택의 기로에 서게 되는데… 열일곱의 설렘, 스물넷의 아픈 기억, 그리고 마지막까지… 한 사람을 지극히 사랑했으니 내 인생은 성공한 인생입니다"
37,레디 플레이어 원,8,액션,"2045년, 암울한 현실과 달리 가상현실 오아시스(OASIS)에서는 누구든 원하는 캐릭터로 어디든지 갈 수 있고, 뭐든지 할 수 있고 상상하는 모든 게 가능하다. 웨이드 와츠(타이 쉐리던) 역시 유일한 낙은 대부분의 사람들이 하루를 보내는 오아시스에 접속하는 것이다. 어느 날 오아시스의 창시자인 괴짜 천재 제임스 할리데이(마크 라이런스)는 자신이 가상현실 속에 숨겨둔 3개의 미션에서 우승하는 사람에게 오아시스의 소유권과 막대한 유산을 상속한다는 유언을 남기고, 그가 사랑했던 80년대 대중문화 속에 힌트가 있음을 알린다. 제임스 할리데이를 선망했던 소년 ‘웨이드 와츠’가 첫 번째 수수께끼를 푸는 데 성공하자 이를 저지하기 위해 현실에서 살인도 마다하지 않는 ‘IOI’라는 거대 기업이 뛰어든다.모두의 꿈과 희망이 되는 오아시스를 지키기 위해서는 반드시 우승해야 한다!그리고 우승을 위해서는 가상현실이 아닌 현실세계의 우정과 사랑의 힘이 필요하기만 한데…"
38,스타 이즈 본,9,드라마,"노래에 놀라운 재능을 가졌지만 외모에는 자신이 없는 무명가수 앨리(레이디 가가)는공연을 하던 바에서 우연히 톱스타 잭슨 메인(브래들리 쿠퍼)을 만나게 된다.자신의 모든 것을 사랑해주는 잭슨의 도움으로 앨리는 자기 안의 열정을 폭발시키며 최고의 스타로 거듭나지만,잭슨은 어린 시절의 상처와 예술가적 고뇌 속에서 점점 무너져가는데…"
39,어벤져스: 인피니티 워,8,액션,"새로운 조합을 이룬 어벤져스,역대 최강 빌런 타노스에 맞서 세계의 운명이 걸린인피니티 스톤을 향한 무한 대결이 펼쳐진다!마블의 클라이맥스를 목격하라!"
40,도굴,7,액션,"흙 맛만 봐도 보물을 찾아내는 타고난 천재 도굴꾼 강동구(이제훈).자칭 한국의 '인디아나 존스'로 불리는 고분벽화 도굴 전문가 존스 박사(조우진), 전설의 삽질 달인 삽다리(임원희)를 만나 환상(?)의 팀플레이를 자랑하며 위험천만하고도 짜릿한 도굴의 판을 키운다.한편, 그의 재능을 알아본 고미술계 엘리트 큐레이터 윤실장(신혜선)은강동구에게 매력적이면서도 위험한 거래를 제안하는데...!황영사 금동불상, 고구려 고분벽화 그리고 서울 강남 한복판 선릉까지!팔수록 판이 커지는 도굴의 세계!급이 다른 삽질이 시작된다!"
42,패스트 & 퓨리어스 - 도쿄 드리프트,7,액션,"반항적인 기질의 션. 그는 자신의 억눌린 감정을 0.01초의 타이밍에 목숨과 거래하는 스트리트 레이싱 매니아. 하지만, 계속되던 무모한 레이싱으로 급기야 큰 사고를 자초하게 되고, 감옥에 가지 않기 위해 도쿄에 있는 아버지에게로 도피한다. 하지만, 가깝게 지내지 않았던 아버지와의 만남은 이국 땅의 낯선 문화와 함께 그에게 더욱 커다란 혼란만을 가져올 뿐, 적응을 하지 못하고 방황하게 된다. 그러던 어느 날 미국인 친구 트윙키에게 새롭게 유행하고 있는 익스트림 스포츠이자 젊은이들의 탈출구인 드리프트 레이싱에 대해 듣게 되는 션. 그는 도심의 위험천만한 급커브를 파워풀한 스피드로 질주하는 모습에 매료돼 순식간에 빠져들고 마는데.."
43,베놈,7,액션,"진실을 위해서라면 몸을 사리지 않는 정의로운 열혈 기자 '에디 브록'거대 기업 라이프 파운데이션의 뒤를 쫓던 그는이들의 사무실에 잠입했다가 실험실에서외계 생물체 '심비오트'의 기습 공격을 받게 된다.'심비오트'와 공생하게 된 '에디 브록'은마침내 한층 강력한 '베놈'으로 거듭나고,악한 존재만을 상대하려는 '에디 브록'의 의지와 달리'베놈'은 난폭한 힘을 주체하지 못하는데…!지배할 것인가, 지배당할 것인가"
44,패스트 & 퓨리어스 2,8,액션,"트레일러만을 골라 탈취 하던 갱단 두목 도미니크(빈 디젤 분)를 검거하기 위해 그와 친분을 맺었던 사복 경찰 브라이언 오코노(폴 워커 분)는 결국 그에게 수갑을 채우는 대신 자신의 자동차를 주어 그를 도주케 한다. 그는 도미니크와의 의리는 지켰지만 자신이 쌓아 왔던 경찰로서의 모든 것은 한 순간에 무너지게 된 것이다. 이 일로 브라이언은 경찰 뱃지를 반납하고 LA 를 떠나 스트리트 레이서로서 내깃돈을 따며 전국을 떠돌고 있다. 마이애미 연방정부는 돈 세탁을 무역사업으로 둔갑시켜 화려한 사업가 행세를 하고 있는 카터 베론(콜 하우저 분)을 검거 하려 하지만 증거를 찾을 수 없어 고심을 하고 있다. 국세청은 그를 오랜 기간 동안 감시하고 있으나, 그가 불법 스트리트 레이싱에 관련되었단 사실 이외에는 별 다른 수확을 거두지 못하고 있었다. 이에 마이애미 연방정부는 스트리트 레이서로 그 실력을 인정 받은 브라이언과 전과자인 로만 피어스에게 그를 검거 할 수 있는 증거를 찾아 줄 것을 요구한다. 탈세혐의자인 카터 베론을 검거 할 수 있다면 브라이언은 과거의 불명예로부터 벗어 날 수 있으며 그의 친구 로만은 족쇄 처럼 붙어 다니는 그의 화려한 전과기록을 모두 벗어 날 수 있는 유일한 기회인 것이다. 하지만 카터 베론은 이미 국제적인 세력을 가지고 있는 거물급 인물이며 그를 체포할 증거를 찾기 위해선 목숨을 담보로 하는 거대한 모험이 기다리고 있으니…"
45,코코,9,액션,뮤지션을 꿈꾸는 소년 미구엘은 전설적인 가수 에르네스토의 기타에 손을 댔다 ‘죽은 자들의 세상’에 들어가게 된다.그리고 그곳에서 만난 의문의 사나이 헥터와 함께 상상조차 못했던 모험을 시작하게 되는데…과연 ‘죽은 자들의 세상’에 숨겨진 비밀은? 그리고 미구엘은 무사히 현실로 돌아올 수 있을까?
46,명탐정 코난 : 비색의 부재증명,0,애니메이션,아버지를 죽인 검은 조직에 대결하는 아카이 가문의 비밀을 파헤치는 코난 이야기를 다룬 애니메이션 영화
47,기생충,8,드라마,"전원백수로 살 길 막막하지만 사이는 좋은 기택(송강호) 가족.장남 기우(최우식)에게 명문대생 친구가 연결시켜 준 고액 과외 자리는모처럼 싹튼 고정수입의 희망이다.온 가족의 도움과 기대 속에 박사장(이선균) 집으로 향하는 기우.글로벌 IT기업 CEO인 박사장의 저택에 도착하자젊고 아름다운 사모님 연교(조여정)가 기우를 맞이한다.그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고 있었으니…"
48,분노의 질주,8,액션,"오디오, DVD 등 값비싼 고급 외제 전자제품을 운송하는 컨테이너 트럭의 도난 사고가 폭주족들에 의해 연속적으로 일어나자 경찰과 FBI 는 사복 경찰 브라이언(폴 워커 분)을 폭주족으로 위장시켜 잠입하게 한다. 브라이언은 폭주족의 대부격인 도미닉 토레토(빈 디젤 분)에게 접근하고자 그의 여동생 미아(조다나 브루스터 분)가 운영하는 카페에 자주 출입 하게 되고 또한 시내의 가장 잘 알려진 튜닝 정비소에 위장 취업 하게 된다. 스트리트 레이싱에서 브라이언은 대부격인 도미닉에게 자신의 차를 걸고 내기 레이싱을 하게 되고, 이어 출동한 경찰들의 검거에 도주하던 도미닉은 브라이언의 도움으로 위기를 모면하게 된다. 이 사건으로 도미닉의 신임을 얻은 브라이언은 도미닉의 일당과 어울리게 되고 도미닉의 여동생 미아와 사랑하는 사이가 된다. 한편 도미닉의 앙숙인 동양계 폭주족 조니 트란 (릭 윤)은 그의 일당과 함께 도미닉을 괴롭히고 조니의 차고에 잠입한 브라이언은 쌓여 있는 고급 전자제품을 목격하게 된다. 뒤이어 경찰 기동타격대가 조니의 집을 급습, 조니를 연행하지만 별다른 혐의 사실을 밝혀 내지 못하고 풀려나게 된다. 이에 앙심을 품은 조니는 이 일이 도미닉의 사주로 일어난 일이라 생각하고 드레그 레이싱에서 자신에게 패배한 도미닉의 동료 제시를 살해한다. 트레일러 도난 사건의 범인이 도미닉과 그의 동료라고 의심한 브라이언은 도미닉의 여동생 미아에게 자신이 경찰임을 밝히고 도미닉의 행방을 쫓게끔 설득한다. 마지막으로 트레일러 약탈을 계획하던 도미닉은 산탄총으로 무장한 트레일러 운전사와 힘겨운 싸움을 벌이게 되고 그 와중에 동료인 빈스가 위급한 상황에 빠지게 된다. 미아와 함께 뒤쫓아온 브라이언은 빈스와 도미닉을 구하고, 목숨이 위급한 빈스를 살리기 위해 자신이 경찰 임을 도미닉에게 밝히고 경찰 헬기를 불러 빈스를 후송하게 한다. 이제 싸움은 도미닉과 브라이언의 싸움으로 좁혀 지고 그 관계는 범죄자와 그를 잡으려는 경찰관으로 좁혀지게 되는데."
50,너의 이름은.,8,드라마,"아직 만난 적 없는 너를, 찾고 있어천년 만에 다가오는 혜성기적이 시작된다도쿄에 사는 소년 ‘타키’와 시골에 사는 소녀 ‘미츠하’는서로의 몸이 뒤바뀌는 신기한 꿈을 꾼다낯선 가족, 낯선 친구들, 낯선 풍경들...반복되는 꿈과 흘러가는 시간 속, 마침내 깨닫는다우리, 서로 뒤바뀐 거야?절대 만날 리 없는 두 사람반드시 만나야 하는 운명이 되다서로에게 남긴 메모를 확인하며점점 친구가 되어가는 ‘타키’와 ‘미츠하’언제부턴가 더 이상 몸이 바뀌지 않자자신들이 특별하게 이어져있었음을 깨달은‘타키’는 ‘미츠하’를 만나러 가는데...잊고 싶지 않은 사람잊으면 안 되는 사람너의 이름은?"
